Código de carga agentes;Código Distritos;Distritos;Código Municipios;Municipios;
0101;010101;Ahuachapán;0101;Ahuachapán Centro;
0102;010102;Apaneca;0101;Ahuachapán Centro;
0104;010104;Concepción de Ataco;0101;Ahuachapán Centro;
0111;010111;Tacuba;0101;Ahuachapán Centro;
0103;010203;Atiquizaya;0102;Ahuachapán Norte;
0105;010205;El Refugio;0102;Ahuachapán Norte;
0109;010209;San Lorenzo;0102;Ahuachapán Norte;
0112;010212;Turín;0102;Ahuachapán Norte;
0106;010306;Guaymango;0103;Ahuachapán Sur;
0107;010307;Jujutla;0103;Ahuachapán Sur;
0108;010308;San Francisco Menéndez;0103;Ahuachapán Sur;
0110;010310;San Pedro Puxtla;0103;Ahuachapán Sur;
0210;020110;Santa Ana;0201;Santa Ana Centro;
0202;020202;Coatepeque;0202;Santa Ana Este;
0204;020204;El Congo;0202;Santa Ana Este;
0206;020306;Masahuat;0203;Santa Ana Norte;
0207;020307;Metapán;0203;Santa Ana Norte;
0211;020311;Santa Rosa Guachipilín;0203;Santa Ana Norte;
0213;020313;Texistepeque;0203;Santa Ana Norte;
0201;020401;Candelaria de la Frontera;0204;Santa Ana Oeste;
0203;020403;Chalchuapa;0204;Santa Ana Oeste;
0205;020405;El Porvenir;0204;Santa Ana Oeste;
0208;020408;San Antonio Pajonal;0204;Santa Ana Oeste;
0209;020409;San Sebastián Salitrillo;0204;Santa Ana Oeste;
0212;020412;Santiago de la Frontera;0204;Santa Ana Oeste;
0309;030109;Nahulingo;0301;Sonsonate Centro;
0311;030111;San Antonio del Monte;0301;Sonsonate Centro;
0314;030114;Santo Domingo de Guzmán;0301;Sonsonate Centro;
0315;030115;Sonsonate;0301;Sonsonate Centro;
0316;030116;Sonzacate;0301;Sonsonate Centro;
0302;030202;Armenia;0302;Sonsonate Este;
0303;030203;Caluco;0302;Sonsonate Este;
0304;030204;Cuisnahuat;0302;Sonsonate Este;
0305;030205;Santa Isabel Ishuatán;0302;Sonsonate Este;
0306;030206;Izalco;0302;Sonsonate Este;
0312;030212;San Julián;0302;Sonsonate Este;
0307;030307;Juayúa;0303;Sonsonate Norte;
0308;030308;Nahuizalco;0303;Sonsonate Norte;
0310;030310;Salcoatitán;0303;Sonsonate Norte;
0313;030313;Santa Catarina Masahuat;0303;Sonsonate Norte;
0301;030401;Acajutla;0304;Sonsonate Oeste;
0401;040101;Agua Caliente;0401;Chalatenango Centro;
0408;040108;Dulce Nombre de María;0401;Chalatenango Centro;
0410;040110;El Paraíso;0401;Chalatenango Centro;
0413;040113;La Reina;0401;Chalatenango Centro;
0416;040116;Nueva Concepción;0401;Chalatenango Centro;
0422;040122;San Fernando;0401;Chalatenango Centro;
0424;040124;San Francisco Morazán;0401;Chalatenango Centro;
0431;040131;San Rafael;0401;Chalatenango Centro;
0432;040132;Santa Rita;0401;Chalatenango Centro;
0433;040133;Tejutla;0401;Chalatenango Centro;
0404;040204;Citalá;0402;Chalatenango Norte;
0425;040225;San Ignacio;0402;Chalatenango Norte;
0412;040212;La Palma;0402;Chalatenango Norte;
0402;040302;Arcatao;0403;Chalatenango Sur;
0403;040303;Azacualpa;0403;Chalatenango Sur;
0405;040305;Comalapa;0403;Chalatenango Sur;
0406;040306;Concepción Quezaltepeque;0403;Chalatenango Sur;
0407;040307;Chalatenango;0403;Chalatenango Sur;
0409;040309;El Carrizal;0403;Chalatenango Sur;
0411;040311;La Laguna;0403;Chalatenango Sur;
0414;040314;Las Vueltas;0403;Chalatenango Sur;
0415;040315;Nombre de Jesús;0403;Chalatenango Sur;
0417;040317;Nueva Trinidad;0403;Chalatenango Sur;
0418;040318;Ojos de Agua;0403;Chalatenango Sur;
0419;040319;Potonico;0403;Chalatenango Sur;
0420;040320;San Antonio de la Cruz;0403;Chalatenango Sur;
0421;040321;San Antonio Los Ranchos;0403;Chalatenango Sur;
0426;040326;San Isidro Labrador;0403;Chalatenango Sur;
0423;040323;San Francisco Lempa;0403;Chalatenango Sur;
0427;040327;San José Cancasque / Cancasque;0403;Chalatenango Sur;
0428;040328;San José Las Flores / Las Flores;0403;Chalatenango Sur;
0429;040329;San Luis del Carmen;0403;Chalatenango Sur;
0430;040330;San Miguel de Mercedes;0403;Chalatenango Sur;
0502;050102;Ciudad Arce;0501;La Libertad Centro;
0515;050115;San Juan Opico;0501;La Libertad Centro;
0505;050205;Chiltiupán;0502;La Libertad Costa;
0508;050208;Jicalapa;0502;La Libertad Costa;
0509;050209;La Libertad;0502;La Libertad Costa;
0518;050218;Tamanique;0502;La Libertad Costa;
0520;050220;Teotepeque;0502;La Libertad Costa;
0501;050301;Antiguo Cuscatlán;0503;La Libertad Este;
0506;050306;Huizúcar;0503;La Libertad Este;
0510;050310;Nuevo Cuscatlán;0503;La Libertad Este;
0514;050314;San José Villanueva;0503;La Libertad Este;
0522;050322;Zaragoza;0503;La Libertad Este;
0512;050412;Quezaltepeque;0504;La Libertad Norte;
0516;050416;San Matías;0504;La Libertad Norte;
0517;050417;San Pablo Tacachico;0504;La Libertad Norte;
0503;050503;Colón;0505;La Libertad Oeste;
0507;050507;Jayaque;0505;La Libertad Oeste;
0513;050513;Sacacoyo;0505;La Libertad Oeste;
0519;050519;Talnique;0505;La Libertad Oeste;
0521;050521;Tepecoyo;0505;La Libertad Oeste;
0504;050604;Comasagua;0506;La Libertad Sur;
0511;050611;Santa Tecla antes: Nueva San Salvador;0506;La Libertad Sur;
0603;060103;Ayutuxtepeque;0601;San Salvador Centro;
0604;060104;Cuscatancingo;0601;San Salvador Centro;
0608;060108;Mejicanos;0601;San Salvador Centro;
0614;060114;San Salvador;0601;San Salvador Centro;
0619;060119;Delgado;0601;San Salvador Centro;
0607;060207;Ilopango;0602;San Salvador Este;
0613;060213;San Martín;0602;San Salvador Este;
0617;060217;Soyapango;0602;San Salvador Este;
0618;060218;Tonacatepeque;0602;San Salvador Este;
0601;060301;Aguilares;0603;San Salvador Norte;
0605;060305;El Paisnal;0603;San Salvador Norte;
0606;060306;Guazapa;0603;San Salvador Norte;
0602;060402;Apopa;0604;San Salvador Oeste;
0609;060409;Nejapa;0604;San Salvador Oeste;
0610;060510;Panchimalco;0605;San Salvador Sur;
0611;060511;Rosario de Mora;0605;San Salvador Sur;
0612;060512;San Marcos;0605;San Salvador Sur;
0615;060515;Santiago Texacuangos;0605;San Salvador Sur;
0616;060516;Santo Tomás;0605;San Salvador Sur;
0706;070106;Oratorio de Concepción;0701;Cuscatlán Norte;
0707;070107;San Bartolomé Perulapía;0701;Cuscatlán Norte;
0709;070109;San José Guayabal;0701;Cuscatlán Norte;
0710;070110;San Pedro Perulapán;0701;Cuscatlán Norte;
0715;070115;Suchitoto;0701;Cuscatlán Norte;
0701;070201;Candelaria;0702;Cuscatlán Sur;
0702;070202;Cojutepeque;0702;Cuscatlán Sur;
0703;070203;El Carmen;0702;Cuscatlán Sur;
0704;070204;El Rosario;0702;Cuscatlán Sur;
0705;070205;Monte San Juan;0702;Cuscatlán Sur;
0708;070208;San Cristóbal;0702;Cuscatlán Sur;
0711;070211;San Rafael Cedros;0702;Cuscatlán Sur;
0712;070212;San Ramón;0702;Cuscatlán Sur;
0713;070213;Santa Cruz Analquito;0702;Cuscatlán Sur;
0714;070214;Santa Cruz Michapa;0702;Cuscatlán Sur;
0716;070216;Tenancingo;0702;Cuscatlán Sur;
0802;080102;El Rosario / Rosario de La Paz;0801;La Paz Centro;
0803;080103;Jerusalén;0801;La Paz Centro;
0804;080104;Mercedes La Ceiba;0801;La Paz Centro;
0806;080106;Paraíso de Osorio;0801;La Paz Centro;
0807;080107;San Antonio Masahuat;0801;La Paz Centro;
0808;080108;San Emigdio;0801;La Paz Centro;
0812;080112;San Juan Tepezontes;0801;La Paz Centro;
0814;080114;San Miguel Tepezontes;0801;La Paz Centro;
0816;080116;San Pedro Nonualco;0801;La Paz Centro;
0818;080118;Santa María Ostuma;0801;La Paz Centro;
0819;080119;Santiago Nonualco;0801;La Paz Centro;
0822;080122;San Luis La Herradura;0801;La Paz Centro;
0810;080210;San Juan Nonualco;0802;La Paz Este;
0817;080217;San Rafael Obrajuelo;0802;La Paz Este;
0821;080221;Zacatecoluca;0802;La Paz Este;
0801;080301;Cuyultitán;0803;La Paz Oeste;
0805;080305;Olocuilta;0803;La Paz Oeste;
0809;080309;San Francisco Chinameca;0803;La Paz Oeste;
0811;080311;San Juan Talpa;0803;La Paz Oeste;
0813;080313;San Luis Talpa;0803;La Paz Oeste;
0815;080315;San Pedro Masahuat;0803;La Paz Oeste;
0820;080320;Tapalhuaca;0803;La Paz Oeste;
0909;090109;Dolores / Villa Dolores;0901;Cabañas Este;
0902;090102;Guacotecti;0901;Cabañas Este;
0905;090105;San Isidro;0901;Cabañas Este;
0906;090106;Sensuntepeque;0901;Cabañas Este;
0908;090108;Victoria;0901;Cabañas Este;
0901;090201;Cinquera;0902;Cabañas Oeste;
0903;090203;Ilobasco;0902;Cabañas Oeste;
0904;090204;Jutiapa;0902;Cabañas Oeste;
0907;090207;Tejutepeque;0902;Cabañas Oeste;
1001;100101;Apastepeque;1001;San Vicente Norte;
1006;100106;San Esteban Catarina;1001;San Vicente Norte;
1007;100107;San Ildefonso;1001;San Vicente Norte;
1008;100108;San Lorenzo;1001;San Vicente Norte;
1009;100109;San Sebastián;1001;San Vicente Norte;
1004;100104;Santa Clara;1001;San Vicente Norte;
1005;100105;Santo Domingo;1001;San Vicente Norte;
1002;100202;Guadalupe;1002;San Vicente Sur;
1003;100203;San Cayetano Istepeque;1002;San Vicente Sur;
1010;100210;San Vicente;1002;San Vicente Sur;
1011;100211;Tecoluca;1002;San Vicente Sur;
1012;100212;Tepetitán;1002;San Vicente Sur;
1013;100213;Verapaz;1002;San Vicente Sur;
1103;110103;California;1101;Usulután Este;
1104;110104;Concepción Batres;1101;Usulután Este;
1106;110106;Ereguayquín;1101;Usulután Este;
1110;110110;Jucuarán;1101;Usulután Este;
1113;110113;Ozatlán;1101;Usulután Este;
1123;110123;Usulután;1101;Usulután Este;
1117;110117;San Dionisio;1101;Usulután Este;
1118;110118;Santa Elena;1101;Usulután Este;
1120;110120;Santa María;1101;Usulután Este;
1122;110122;Tecapán;1101;Usulután Este;
1101;110201;Alegría;1102;Usulután Norte;
1102;110202;Berlín;1102;Usulután Norte;
1105;110205;El Triunfo;1102;Usulután Norte;
1107;110207;Estanzuelas;1102;Usulután Norte;
1109;110209;Jucuapa;1102;Usulután Norte;
1111;110211;Mercedes Umaña;1102;Usulután Norte;
1112;110212;Nueva Granada;1102;Usulután Norte;
1116;110216;San Buenaventura;1102;Usulután Norte;
1121;110221;Santiago de María;1102;Usulután Norte;
1108;110308;Jiquilisco;1103;Usulután Oeste;
1114;110314;Puerto El Triunfo;1103;Usulután Oeste;
1115;110315;San Agustín;1103;Usulután Oeste;
1119;110319;San Francisco Javier;1103;Usulután Oeste;
1203;120103;Comacarán;1201;San Miguel Centro;
1209;120109;Moncagua;1201;San Miguel Centro;
1206;120106;Chirilagua;1201;San Miguel Centro;
1212;120112;Quelepa;1201;San Miguel Centro;
1217;120117;San Miguel;1201;San Miguel Centro;
1220;120120;Uluazapa;1201;San Miguel Centro;
1201;120201;Carolina;1202;San Miguel Norte;
1202;120202;Ciudad Barrios;1202;San Miguel Norte;
1204;120204;Chapeltique;1202;San Miguel Norte;
1211;120211;Nuevo Edén de San Juan;1202;San Miguel Norte;
1213;120213;San Antonio del Mosco;1202;San Miguel Norte;
1214;120214;San Gerardo;1202;San Miguel Norte;
1216;120216;San Luis de La Reina;1202;San Miguel Norte;
1219;120219;Sesori;1202;San Miguel Norte;
1205;120305;Chinameca;1203;San Miguel Oeste;
1207;120307;El Tránsito;1203;San Miguel Oeste;
1208;120308;Lolotique;1203;San Miguel Oeste;
1210;120310;Nueva Guadalupe;1203;San Miguel Oeste;
1215;120315;San Jorge;1203;San Miguel Oeste;
1218;120318;San Rafael Oriente;1203;San Miguel Oeste;
1301;130101;Arambala;1301;Morazán Norte;
1302;130102;Cacaopera;1301;Morazán Norte;
1303;130103;Corinto;1301;Morazán Norte;
1307;130107;El Rosario;1301;Morazán Norte;
1310;130110;Joateca;1301;Morazán Norte;
1311;130111;Jocoaitique;1301;Morazán Norte;
1314;130114;Meanguera;1301;Morazán Norte;
1316;130116;Perquín;1301;Morazán Norte;
1318;130118;San Fernando;1301;Morazán Norte;
1320;130120;San Isidro;1301;Morazán Norte;
1324;130124;Torola;1301;Morazán Norte;
1304;130204;Chilanga;1302;Morazán Sur;
1305;130205;Delicias de Concepción;1302;Morazán Sur;
1306;130206;El Divisadero;1302;Morazán Sur;
1308;130208;Gualococti;1302;Morazán Sur;
1309;130209;Guatajiagua;1302;Morazán Sur;
1312;130212;Jocoro;1302;Morazán Sur;
1313;130213;Lolotiquillo;1302;Morazán Sur;
1315;130215;Osicala;1302;Morazán Sur;
1317;130217;San Carlos;1302;Morazán Sur;
1319;130219;San Francisco Gotera;1302;Morazán Sur;
1321;130221;San Simón;1302;Morazán Sur;
